-------------------------------------------------------------------------------------------------------------
SD-80/SD-90 Native Instruments List
-------------------------------------------------------------------------------------------------------------
PC	LSB	MSB	Classical Map	MSB	Contemporary Map	MSB	Solo Map	MSB	Enhanced Map
1	0	96	Piano 1     	97	Ac.Piano    	98	St.Piano 1  	99	SD Piano    
	1	96	Piano 1w    	97	Ac.Piano w  	98	St.Piano 1w 	99	SD Piano w  
	2	96	Piano 1d    	97	Mild Piano  	98	European Pf 	99	Classic Pf  
2	0	96	Piano 2     	97	Rock Piano  	98	St.Piano 2  	99	Enh.Piano 2 
	1	96	Piano 2w    	97	Rock Piano w	98	St.Piano 2w 	99	Enh.Piano 2w
3	0	96	Piano 3     	97	E.Grand Pf  	98	SA Piano    	99	Enh.E Grand 
	1	96	Piano 3w    	97	E.Grand Pf w	98	SA Piano w  	99	Enh.E Grandw
4	0	96	Honky-tonk  	97	Old Honky   	98	St.Honky    	99	Brite Honky 
	1	96	Honky-tonk w	97	Old Honky w 	98	St.Honky w  	99	Brite Honkyw
5	0	96	E.Piano 1   	97	Soft Rhodes 	98	Tremo Rhodes	99	Stage 73    
	1	96	Detuned EP1 	97	Fat Rhodes  	98	Sweet Tynes 	99	NY Rhodes   
	2	96	Dyno Rhodes 	97	Rhodes Wide 	98	Tremo Dyno  	99	Phase Dyno
	3	96	60's E.Piano	97	Wurly Soft  	98	Tremo Wurly 	99	Whirly      
6	0	96	E.Piano 2   	97	FM E.Piano  	98	FM Hard EP  	99	Chorus EP   
	1	96	Detuned EP2 	97	Soft FM EP  	98	Brite FM EP 	99	Phase FM EP 
	2	96	E.Piano 2v  	97	SA E.Piano  	98	Brite FM EP2	99	Wah FM EP   
	3	96	EP Legend   	97	EP Legend 2 	98	EP Legend 3 	99	Enh.Legend  
	4	96	EP Phase    	97	EP Phase 2  	98	EP Phase 3  	99	Phasing EP  
7	0	96	Harpsichord 	97	Harpsi 2    	98	St.Harpsichd	99	Enh.Harpsi  
	1	96	Coupl hps   	97	Coupl hps 2 	98	St.Coupl hps	99	Enh.Coupl hp
	2	96	Harpsi w    	97	Harpsi 2 w  	98	St.Harpsi w 	99	Enh.Harpsi w
	3	96	Harpsi o    	97	Harpsi 2 o  	98	St.Harpsi o 	99	Enh.Harpsi o
8	0	96	Clav        	97	Atack Clav 1	98	Atack Clav 2	99	Comp Clav   
	1	96	Pulse Clav  	97	AnalogClav 1	98	AnalogClav 2	99	Wah Ana.Clav
9	0	96	Celesta     	97	Celesta 2   	98	St.Celesta  	99	SpaceCelesta
10	0	96	Glockenspiel	97	Glocken 2   	98	St.Glocken  	99	Trem.Glocken
11	0	96	Music Box   	97	Music Box 2 	98	St.Music Box	99	Panning Box 
12	0	96	Vibraphone  	97	Vibraphone 2	98	St.Vibra    	99	Trem.Vibra  
	1	96	Vibraphone w	97	Vibraphone2w	98	St.Vibra w  	99	Trem.Vibra w
13	0	96	Marimba     	97	Marimba 2   	98	St.Marimba  	99	Enh.Marimba 
	1	96	Marimba w   	97	Marimba 2 w 	98	St.Marimba w	99	Enh.Marimbaw
14	0	96	Xylophone   	97	Xylophone 2 	98	St.Xylophone	99	Enh.Xylophon
15	0	96	Tubular-bell	97	Tubular-bel2	98	St.Tubular  	99	Trem.Tubula 
	1	96	Church Bell 	97	Church Bell2	98	St.Church   	99	Echo Church 
	2	96	Carillon    	97	Carillon 2  	98	St.Carillon 	99	Trm.Carillon
16	0	96	Santur      	97	Santur 2    	98	St.Santur   	99	Enh.Santur  
17	0	96	Organ 1     	97	Perky       	98	Roller      	99	Perky Spin  
	1	96	Detuned Or1 	97	Ballad B    	98	Rocker      	99	Gospel Spin 
	2	96	Organ 60    	97	Happy 60s   	98	Soft60'Organ	99	96 Year     
	3	96	Organ 4     	97	Tone Wheel  	98	Full Stops  	99	Tone Wh.Solo
18	0	96	Organ 2     	97	Jazz Organ 1	98	Jazz Organ 2	99	Jazzy Spin  
	1	96	Detuned Or2 	97	Perc.Organ 1	98	Perc.Organ 2	99	Jazzy Spin 2
	2	96	Organ 5     	97	Dist.JzOrg 1	98	Dist.JzOrg 2	99	Jazzy Spin 3
19	0	96	Organ 3     	97	Organ 3 fast	98	Rock Organ  	99	Rocker Spin 
20	0	96	Church 1    	97	Pipe Organ 1	98	Pipe Organ 2	99	Amb.Church  
	1	96	Church 2    	97	LargeChurch1	98	LargeChurch2	99	Amb.Church 2
	2	96	Church 3    	97	SmallChurch1	98	SmallChurch2	99	Amb.Church 3
21	0	96	Reed Organ  	97	Reed Organ 2	98	Reed Organ 3	99	Old Reed Org
	1	96	Puff Organ  	97	Organ Flute 	98	Theater     	99	Enh.Theater 
22	0	96	Accordion F 	97	French Acc  	98	St.FrenchAcc	99	Enh.French  
	1	96	Accordion I 	97	It Muset    	98	St.It Muset 	99	Enh.ItMuset 
23	0	96	Harmonica   	97	Harmonica 2 	98	St.Harmonica	99	Ld.Harmonica
24	0	96	Bandneon    	97	Bandneon 1  	98	St.Bandneon 	99	Enh.Bandneon
25	0	96	Nylon Gt    	97	Nylon Gt 2  	98	Nylon Gt 3  	99	Enh.Nylon Gt
	1	96	Ukulele     	97	Ukulele 2   	98	Ukulele 3   	99	Enh.Ukulele 
	2	96	Nylon o     	97	Nylon 2 o   	98	Nylon 3 o   	99	Enh.Nylon o 
	3	96	Nylon Gt.2  	97	Hard Gut Gt 	98	Hard Gut Gt2	99	Enh.Gut Gt  
26	0	96	Steel-str.Gt	97	OV Steel Gt 	98	SteelStr.Gt2	99	Comp OVSteel
	1	96	12-Str.Gt   	97	12-Str.Gt 2 	98	12-Str.Gt 3 	99	3D 12-Str.Gt
	2	96	Mandolin    	97	Mandolin 2  	98	Mandolin 3  	99	Enh.Mandolin
	3	96	Steel+Body  	97	Steel+Body 2	98	Steel+Body 3	99	DelayedSteel
27	0	96	Jazz Gt     	97	Jazz Gt 2   	98	Jazz Gt 3   	99	Lead Jazz Gt
	1	96	Pedal Steel 	97	Pedal Steel2	98	Pedal Steel3	99	Hawaian Gt  
28	0	96	Clean Rear  	97	TC Rear     	98	Strat2 Rear 	99	Old Clean Gt
	1	96	Clean Half  	97	TC Front    	98	Chorus Clean	99	Jazz Chorus 
	2	96	Mid Tone Gt 	97	TC Front 2  	98	335	99	335 Drive   
29	0	96	Muted Gt    	97	TC Mute Gt  	98	TC Mute Gt 2	99	Comp Mute Gt
	1	96	Funk Gt     	97	FunkGt Slap 	98	FunkGt.Slap2	99	Enh.Funk Gt 
	2	96	Funk Gt 2   	97	Funk Pop    	98	Funk Pop 2  	99	Wah Funk Pop
